condition,param,seed,cost,exact_match,bp_dist,energy,bp_dist_to_noiseless
noiseless,,,-23.5,True,16,13.0,0
shot_noise,64,0.0,-16.0,False,21,10.0,13
shot_noise,64,1.0,-20.5,False,19,10.300000190734863,7
shot_noise,64,2.0,-20.5,False,19,10.300000190734863,7
shot_noise,64,3.0,-16.0,False,21,10.0,13
shot_noise,64,4.0,-16.0,False,21,10.0,13
shot_noise,64,5.0,-20.5,False,19,10.300000190734863,7
shot_noise,64,6.0,-23.5,True,16,13.0,0
shot_noise,64,7.0,-23.5,True,16,13.0,0
shot_noise,64,8.0,-16.0,False,21,10.0,13
shot_noise,64,9.0,-16.0,False,21,10.0,13
shot_noise,256,0.0,-23.5,True,16,13.0,0
shot_noise,256,1.0,-23.5,True,16,13.0,0
shot_noise,256,2.0,-16.0,False,21,10.0,13
shot_noise,256,3.0,-20.5,False,19,10.300000190734863,7
shot_noise,256,4.0,-20.5,False,19,10.300000190734863,7
shot_noise,256,5.0,-23.5,True,16,13.0,0
shot_noise,256,6.0,-16.0,False,21,10.0,13
shot_noise,256,7.0,-20.5,False,19,10.300000190734863,7
shot_noise,256,8.0,-16.0,False,21,10.0,13
shot_noise,256,9.0,-20.5,False,19,10.300000190734863,7
shot_noise,1024,0.0,-20.5,False,19,10.300000190734863,7
shot_noise,1024,1.0,-23.5,True,16,13.0,0
shot_noise,1024,2.0,-23.5,True,16,13.0,0
shot_noise,1024,3.0,-23.5,True,16,13.0,0
shot_noise,1024,4.0,-20.5,False,19,10.300000190734863,7
shot_noise,1024,5.0,-23.5,True,16,13.0,0
shot_noise,1024,6.0,-12.5,False,20,11.0,10
shot_noise,1024,7.0,-20.5,False,19,10.300000190734863,7
shot_noise,1024,8.0,-23.5,True,16,13.0,0
shot_noise,1024,9.0,-23.5,True,16,13.0,0
shot_noise,4096,0.0,-23.5,True,16,13.0,0
shot_noise,4096,1.0,-23.5,True,16,13.0,0
shot_noise,4096,2.0,-16.0,False,22,17.0,14
shot_noise,4096,3.0,-23.5,True,16,13.0,0
shot_noise,4096,4.0,-23.5,True,16,13.0,0
shot_noise,4096,5.0,-16.0,False,22,17.0,14
shot_noise,4096,6.0,-16.0,False,22,17.0,14
shot_noise,4096,7.0,-23.5,True,16,13.0,0
shot_noise,4096,8.0,-23.5,True,16,13.0,0
shot_noise,4096,9.0,-23.5,True,16,13.0,0
depolarizing,0.0,0.0,-23.5,True,16,13.0,0
depolarizing,0.0,1.0,-23.5,True,16,13.0,0
depolarizing,0.0,2.0,-23.5,True,16,13.0,0
depolarizing,0.0,3.0,-16.0,False,22,17.0,14
depolarizing,0.0,4.0,-23.5,True,16,13.0,0
depolarizing,0.0,5.0,-23.5,True,16,13.0,0
depolarizing,0.0,6.0,-23.5,True,16,13.0,0
depolarizing,0.0,7.0,-23.5,True,16,13.0,0
depolarizing,0.0,8.0,-16.0,False,22,17.0,14
depolarizing,0.0,9.0,-16.0,False,22,17.0,14
depolarizing,0.01,0.0,-23.5,True,16,13.0,0
depolarizing,0.01,1.0,-23.5,True,16,13.0,0
depolarizing,0.01,2.0,-23.5,True,16,13.0,0
depolarizing,0.01,3.0,-16.0,False,22,17.0,14
depolarizing,0.01,4.0,-16.0,False,22,17.0,14
depolarizing,0.01,5.0,-16.0,False,22,17.0,14
depolarizing,0.01,6.0,-23.5,True,16,13.0,0
depolarizing,0.01,7.0,-16.0,False,22,17.0,14
depolarizing,0.01,8.0,-23.5,True,16,13.0,0
depolarizing,0.01,9.0,-14.0,False,22,15.899999618530273,14
depolarizing,0.02,0.0,-23.5,True,16,13.0,0
depolarizing,0.02,1.0,-16.0,False,22,17.0,14
depolarizing,0.02,2.0,-16.0,False,22,17.0,14
depolarizing,0.02,3.0,-23.5,True,16,13.0,0
depolarizing,0.02,4.0,-23.5,True,16,13.0,0
depolarizing,0.02,5.0,-23.5,True,16,13.0,0
depolarizing,0.02,6.0,-23.5,True,16,13.0,0
depolarizing,0.02,7.0,-23.5,True,16,13.0,0
depolarizing,0.02,8.0,-16.0,False,22,17.0,14
depolarizing,0.02,9.0,-23.5,True,16,13.0,0
depolarizing,0.05,0.0,-23.5,True,16,13.0,0
depolarizing,0.05,1.0,-20.5,False,19,10.300000190734863,7
depolarizing,0.05,2.0,-23.5,True,16,13.0,0
depolarizing,0.05,3.0,-16.0,False,22,17.0,14
depolarizing,0.05,4.0,-16.0,False,22,17.0,14
depolarizing,0.05,5.0,-23.5,True,16,13.0,0
depolarizing,0.05,6.0,-16.0,False,22,17.0,14
depolarizing,0.05,7.0,-16.0,False,22,17.0,14
depolarizing,0.05,8.0,-14.0,False,22,15.899999618530273,14
depolarizing,0.05,9.0,-23.5,True,16,13.0,0
depolarizing,0.1,0.0,-16.0,False,22,17.0,14
depolarizing,0.1,1.0,-23.5,True,16,13.0,0
depolarizing,0.1,2.0,-23.5,True,16,13.0,0
depolarizing,0.1,3.0,-16.0,False,22,17.0,14
depolarizing,0.1,4.0,-23.5,True,16,13.0,0
depolarizing,0.1,5.0,-14.0,False,22,15.899999618530273,14
depolarizing,0.1,6.0,-16.0,False,22,17.0,14
depolarizing,0.1,7.0,-23.5,True,16,13.0,0
depolarizing,0.1,8.0,-23.5,True,16,13.0,0
depolarizing,0.1,9.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",0.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",1.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",2.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",3.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",4.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",5.0,-23.5,True,16,13.0,0
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",6.0,-16.0,False,22,17.0,14
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",7.0,-16.0,False,22,17.0,14
device_ideal,"{'name': 'ideal', 'p_gate': 0.0, 'p_spam': 0.0}",8.0,-23.5,True,16,13.0,0
