tier,seq_id,max_branches,branch_damping,model_energy_error
A,A_hp01,1,0.25,0.0
A,A_hp01,1,0.3333,0.0
A,A_hp01,1,0.5,0.0
A,A_hp01,1,0.75,0.0
A,A_hp01,1,1.0,0.0
A,A_hp01,1,1.25,0.0
A,A_hp02,1,0.25,0.0
A,A_hp02,1,0.3333,0.0
A,A_hp02,1,0.5,0.0
A,A_hp02,1,0.75,0.0
A,A_hp02,1,1.0,0.0
A,A_hp02,1,1.25,0.0
A,A_hp03,1,0.25,0.0
A,A_hp03,1,0.3333,0.0
A,A_hp03,1,0.5,0.0
A,A_hp03,1,0.75,0.0
A,A_hp03,1,1.0,0.0
A,A_hp03,1,1.25,0.0
A,A_hp04,1,0.25,0.0
A,A_hp04,1,0.3333,0.0
A,A_hp04,1,0.5,0.0
A,A_hp04,1,0.75,0.0
A,A_hp04,1,1.0,0.0
A,A_hp04,1,1.25,0.0
A,A_hp05,1,0.25,0.0
A,A_hp05,1,0.3333,0.0
A,A_hp05,1,0.5,0.0
A,A_hp05,1,0.75,0.0
A,A_hp05,1,1.0,0.0
A,A_hp05,1,1.25,0.0
A,A_hp06,1,0.25,0.0
A,A_hp06,1,0.3333,0.0
A,A_hp06,1,0.5,0.0
A,A_hp06,1,0.75,0.0
A,A_hp06,1,1.0,0.0
A,A_hp06,1,1.25,0.0
A,A_hp07,1,0.25,0.0
A,A_hp07,1,0.3333,0.0
A,A_hp07,1,0.5,0.0
A,A_hp07,1,0.75,0.0
A,A_hp07,1,1.0,0.0
A,A_hp07,1,1.25,0.0
A,A_hp08,1,0.25,0.0
A,A_hp08,1,0.3333,0.0
A,A_hp08,1,0.5,0.0
A,A_hp08,1,0.75,0.0
A,A_hp08,1,1.0,0.0
A,A_hp08,1,1.25,0.0
A,A_rand01,1,0.25,0.0
A,A_rand01,1,0.3333,0.0
A,A_rand01,1,0.5,0.0
A,A_rand01,1,0.75,0.0
A,A_rand01,1,1.0,0.0
A,A_rand01,1,1.25,0.0
A,A_rand02,1,0.25,0.0
A,A_rand02,1,0.3333,0.0
A,A_rand02,1,0.5,0.0
A,A_rand02,1,0.75,0.0
A,A_rand02,1,1.0,0.0
A,A_rand02,1,1.25,0.0
A,A_rand03,1,0.25,0.0
A,A_rand03,1,0.3333,0.0
A,A_rand03,1,0.5,0.0
A,A_rand03,1,0.75,0.0
A,A_rand03,1,1.0,0.0
A,A_rand03,1,1.25,0.0
A,A_rand05,1,0.25,0.0
A,A_rand05,1,0.3333,0.0
A,A_rand05,1,0.5,0.0
A,A_rand05,1,0.75,0.0
A,A_rand05,1,1.0,0.0
A,A_rand05,1,1.25,0.0
A,A_rand06,1,0.25,0.0
A,A_rand06,1,0.3333,0.0
A,A_rand06,1,0.5,0.0
A,A_rand06,1,0.75,0.0
A,A_rand06,1,1.0,0.0
A,A_rand06,1,1.25,0.0
A,A_rand07,1,0.25,0.0
A,A_rand07,1,0.3333,0.0
A,A_rand07,1,0.5,0.0
A,A_rand07,1,0.75,0.0
A,A_rand07,1,1.0,0.0
A,A_rand07,1,1.25,0.0
A,A_rand08,1,0.25,0.0
A,A_rand08,1,0.3333,0.0
A,A_rand08,1,0.5,0.0
A,A_rand08,1,0.75,0.0
A,A_rand08,1,1.0,0.0
A,A_rand08,1,1.25,0.0
A,A_rand09,1,0.25,0.0
A,A_rand09,1,0.3333,0.0
A,A_rand09,1,0.5,0.0
A,A_rand09,1,0.75,0.0
A,A_rand09,1,1.0,0.0
A,A_rand09,1,1.25,0.0
A,A_rand11,1,0.25,0.0
A,A_rand11,1,0.3333,0.0
A,A_rand11,1,0.5,0.0
A,A_rand11,1,0.75,0.0
A,A_rand11,1,1.0,0.0
A,A_rand11,1,1.25,0.0
A,A_rand12,1,0.25,0.0
A,A_rand12,1,0.3333,0.0
A,A_rand12,1,0.5,0.0
A,A_rand12,1,0.75,0.0
A,A_rand12,1,1.0,0.0
A,A_rand12,1,1.25,0.0
M,M_ml01,2,0.25,2.325
M,M_ml01,2,0.3333,2.0667
M,M_ml01,2,0.5,1.55
M,M_ml01,2,0.75,0.775
M,M_ml01,2,1.0,0.0
M,M_ml01,2,1.25,0.775
M,M_ml02,2,0.25,0.75
M,M_ml02,2,0.3333,0.6667
M,M_ml02,2,0.5,0.5
M,M_ml02,2,0.75,0.25
M,M_ml02,2,1.0,0.0
M,M_ml02,2,1.25,0.25
M,M_ml03,2,0.25,1.05
M,M_ml03,2,0.3333,0.9333
M,M_ml03,2,0.5,0.7
M,M_ml03,2,0.75,0.35
M,M_ml03,2,1.0,0.0
M,M_ml03,2,1.25,0.35
M,M_ml04,2,0.25,0.6
M,M_ml04,2,0.3333,0.5333
M,M_ml04,2,0.5,0.4
M,M_ml04,2,0.75,0.2
M,M_ml04,2,1.0,0.0
M,M_ml04,2,1.25,0.2
M,M_ml05,2,0.25,0.7725
M,M_ml05,2,0.3333,0.6867
M,M_ml05,2,0.5,0.515
M,M_ml05,2,0.75,0.2575
M,M_ml05,2,1.0,0.0
M,M_ml05,2,1.25,0.2575
M,M_ml06,2,0.25,0.6225
M,M_ml06,2,0.3333,0.5533
M,M_ml06,2,0.5,0.415
M,M_ml06,2,0.75,0.2075
M,M_ml06,2,1.0,0.0
M,M_ml06,2,1.25,0.2075
M,M_ml07,2,0.25,0.1725
M,M_ml07,2,0.3333,0.1533
M,M_ml07,2,0.5,0.115
M,M_ml07,2,0.75,0.0575
M,M_ml07,2,1.0,0.0
M,M_ml07,2,1.25,0.0575
M,M_ml08,3,0.25,0.8875
M,M_ml08,3,0.3333,0.3433
M,M_ml08,3,0.5,0.745
M,M_ml08,3,0.75,2.3775
M,M_ml08,3,1.0,4.01
M,M_ml08,3,1.25,5.6425
M,M_ml09,3,0.25,0.7725
M,M_ml09,3,0.3333,0.2833
M,M_ml09,3,0.5,0.695
M,M_ml09,3,0.75,2.1625
M,M_ml09,3,1.0,3.63
M,M_ml09,3,1.25,5.0975
