tier,seq_id,n_stems,scheme,encoded_vars,degree,fits_free_tier,R,seed,collapse_rate,max_stem_share,wall_time,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_hp01,7,per_stem,14,2,True,7.0,0,0.5833333333333334,0.7519,0.19280979997711256,-2.000000000000001,1.1,-2.0,1.1,True,False,0
A,A_hp01,7,per_stem,14,2,True,7.0,1,0.5833333333333334,0.7521,0.20203280000714585,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,per_stem,14,2,True,7.0,2,0.5,0.6679,0.1980603999691084,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,global_slack,8,2,True,3.5,0,1.0,1.0,0.18514860002323985,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,global_slack,8,2,True,3.5,1,1.0,1.0,0.18224749999353662,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,global_slack,8,2,True,3.5,2,1.0,1.0,0.1848209000308998,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp02,8,per_stem,16,2,True,8.0,0,0.4166666666666667,0.6579,0.2574161000084132,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,per_stem,16,2,True,8.0,1,0.4166666666666667,0.6425,0.34356369997840375,0.0,1.7,0.0,1.7,True,False,0
A,A_hp02,8,per_stem,16,2,True,8.0,2,0.6666666666666666,0.823,0.3334480000194162,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,global_slack,9,2,True,4.0,0,1.0,1.0,0.32991729996865615,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,global_slack,9,2,True,4.0,1,1.0,1.0,0.3460124999983236,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,global_slack,9,2,True,4.0,2,1.0,1.0,0.38219849998131394,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp03,23,per_stem,46,2,True,23.0,0,0.0,0.0,0.3812459000037052,0.0,0.1,0.0,0.1,True,False,0
A,A_hp03,23,per_stem,46,2,True,23.0,1,0.08333333333333333,0.0833,0.39586579997558147,0.0,0.1,0.0,0.1,True,False,0
A,A_hp03,23,per_stem,46,2,True,23.0,2,0.08333333333333333,0.0833,0.3800465000094846,0.0,0.1,0.0,0.1,True,False,0
A,A_hp03,23,global_slack,24,2,True,11.5,0,1.0,1.0,0.36952589999418706,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,global_slack,24,2,True,11.5,1,1.0,1.0,0.3792949999915436,0.9999999999999991,1.1,1.0,1.1,True,False,0
A,A_hp03,23,global_slack,24,2,True,11.5,2,1.0,1.0,0.37313999998150393,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp04,14,per_stem,28,2,True,14.0,0,0.6666666666666666,0.7086,0.34076490002917126,-5.900000000000002,0.0,-5.9,0.0,True,False,0
