tier,seq_id,n_stems,R_fraction,R,n_selected,collapse_rate,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_hp01,7,0.1,1.0,1,0.6666666666666666,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,0.2,1.4000000000000001,1,0.9166666666666666,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,0.3,2.1,1,1.0,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,0.5,3.5,1,1.0,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,0.75,5.25,1,1.0,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp01,7,1.0,7.0,1,1.0,-3.1000000000000005,0.0,-3.1,0.0,True,False,0
A,A_hp02,8,0.1,1.0,1,0.4166666666666667,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,0.2,1.6,1,0.9166666666666666,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,0.3,2.4,1,1.0,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,0.5,4.0,1,1.0,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,0.75,6.0,1,1.0,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp02,8,1.0,8.0,1,1.0,-1.7000000000000002,0.0,-1.7,0.0,True,False,0
A,A_hp03,23,0.1,2.3000000000000003,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,0.2,4.6000000000000005,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,0.3,6.8999999999999995,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,0.5,11.5,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,0.75,17.25,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp03,23,1.0,23.0,1,1.0,-0.10000000000000053,0.0,-0.1,0.0,True,False,0
A,A_hp04,14,0.1,1.4000000000000001,1,0.75,-1.9000000000000012,4.0,-1.9,4.0,True,False,0
A,A_hp04,14,0.2,2.8000000000000003,1,1.0,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,0.3,4.2,1,1.0,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,0.5,7.0,1,1.0,-5.9,0.0,-5.9,0.0,True,False,0
