seq_id,tier,length,n_stems,level,solver,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,sensitivity,ppv,f1,bp_distance,exact_match,matches_subopt,feasible_raw,was_repaired,n_removed,reference_representable,model_energy_error,level_exact_for_reference,structure,wall_time,model_level,model_n_vars,model_degree,model_n_obj_linear,model_n_obj_quadratic,model_n_obj_cubic,model_n_penalty_terms,model_lambda_conflict,model_lambda_cross,model_pseudoknot_mode,model_n_stems,model_n_conflict,model_n_crossing,model_n_nesting,res_n_vars,res_states_enumerated,res_function_evaluations,res_n_auxiliary_vars,res_branches,res_conflicts
A_hp01,A,15,7,0,brute_force,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.8,True,(((((....))))).,0.00017710000975057483,0,7,2,7,0,0,21,13.35,13.35,False,7,21,0,0,7,128.0,128.0,,,
A_hp01,A,15,7,1,brute_force,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,(((((....))))).,0.00013830000534653664,1,7,2,7,0,0,21,4.65,4.65,False,7,21,0,0,7,128.0,128.0,,,
A_hp02,A,16,8,0,brute_force,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,4.7,True,.(((((.....))))),0.00021359999664127827,0,8,2,8,0,0,28,9.6,9.6,False,8,28,0,0,8,256.0,256.0,,,
A_hp02,A,16,8,1,brute_force,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.(((((.....))))),0.00018070003716275096,1,8,2,8,0,0,28,2.55,2.55,False,8,28,0,0,8,256.0,256.0,,,
A_hp03,A,17,23,0,cpsat,-0.1,-0.1,-0.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,6.0,True,((((((....)))))).,0.07457469997461885,0,23,2,23,0,0,252,9.15,9.15,False,23,249,3,1,23,,,252.0,524.0,0.0
A_hp03,A,17,23,1,cpsat,-0.1,-0.1,-0.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,((((((....)))))).,0.03780160000314936,1,23,2,23,1,0,252,12.0,12.0,False,23,249,3,1,23,,,253.0,114.0,0.0
A_hp04,A,18,14,0,brute_force,-5.9,-5.9,-5.9,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,4.1,True,.((((((....)))))).,0.002660099999047816,0,14,2,14,0,0,90,15.0,15.0,False,14,90,0,1,14,16384.0,16384.0,,,
A_hp04,A,18,14,1,brute_force,-5.9,-5.9,-5.9,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.((((((....)))))).,0.0031245999853126705,1,14,2,14,1,0,90,13.2,13.2,False,14,90,0,1,14,16384.0,16384.0,,,
A_hp05,A,19,24,0,cpsat,-2.3,-2.3,-2.3,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,6.4,True,(((((((...)))))))..,0.038883699977304786,0,24,2,24,0,0,270,13.05,13.05,False,24,270,0,6,24,,,270.0,86.0,0.0
A_hp05,A,19,24,1,cpsat,-2.3,-2.3,-2.3,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,(((((((...)))))))..,0.03404570004204288,1,24,2,24,6,0,270,31.65,31.65,False,24,270,0,6,24,,,276.0,176.0,0.0
