tier,seq_id,length,variant,min_stem_length,include_substems,n_stems,n_conflict,n_nesting,representable,encoding_gap
A,A_hp01,15,Lmin3_maximal,3,False,2,1,0,True,0.0
A,A_hp01,15,Lmin3_substems,3,True,7,21,0,True,0.0
A,A_hp01,15,Lmin2_maximal,2,False,7,17,0,True,0.0
A,A_hp01,15,Lmin2_substems,2,True,18,129,13,True,0.0
A,A_hp02,16,Lmin3_maximal,3,False,3,3,0,True,0.0
A,A_hp02,16,Lmin3_substems,3,True,8,28,0,True,0.0
A,A_hp02,16,Lmin2_maximal,2,False,10,39,3,True,0.0
A,A_hp02,16,Lmin2_substems,2,True,23,217,15,True,0.0
A,A_hp03,17,Lmin3_maximal,3,False,5,10,0,True,0.0
A,A_hp03,17,Lmin3_substems,3,True,23,249,1,True,0.0
A,A_hp03,17,Lmin2_maximal,2,False,8,26,0,True,0.0
A,A_hp03,17,Lmin2_substems,2,True,43,782,32,True,0.0
A,A_hp04,18,Lmin3_maximal,3,False,3,3,0,True,0.0
A,A_hp04,18,Lmin3_substems,3,True,14,90,1,True,0.0
A,A_hp04,18,Lmin2_maximal,2,False,4,6,0,True,0.0
A,A_hp04,18,Lmin2_substems,2,True,25,274,23,True,0.0
A,A_hp05,19,Lmin3_maximal,3,False,3,3,0,True,0.0
A,A_hp05,19,Lmin3_substems,3,True,24,270,6,True,0.0
A,A_hp05,19,Lmin2_maximal,2,False,13,55,7,True,0.0
A,A_hp05,19,Lmin2_substems,2,True,47,886,104,True,0.0
A,A_hp06,20,Lmin3_maximal,3,False,2,1,0,True,0.0
A,A_hp06,20,Lmin3_substems,3,True,11,54,1,True,0.0
A,A_hp06,20,Lmin2_maximal,2,False,9,27,0,True,0.0
A,A_hp06,20,Lmin2_substems,2,True,25,252,22,True,0.0
A,A_hp07,21,Lmin3_maximal,3,False,2,1,0,True,0.0
A,A_hp07,21,Lmin3_substems,3,True,22,213,15,True,0.0
A,A_hp07,21,Lmin2_maximal,2,False,10,28,3,True,0.0
A,A_hp07,21,Lmin2_substems,2,True,39,576,102,True,0.0
A,A_hp08,22,Lmin3_maximal,3,False,4,6,0,True,0.0
A,A_hp08,22,Lmin3_substems,3,True,28,355,16,True,0.0
