tier,seq_id,length,n_stems,max_branches,level,degree,encoding_gap,model_energy_error,representable,n_linear,n_quadratic,n_cubic,cost_layer_cnots,cubic_cnots,n_ancillas,quadratized_vars,wall_time
A,A_hp01,15,7,1,0,2,0.0,5.8,True,7,0,0,42,0,0,7,0.00018989999080076814
A,A_hp01,15,7,1,1,2,0.0,0.0,True,7,0,0,42,0,0,7,0.00013010000111535192
A,A_hp01,15,7,1,2,2,0.0,0.0,True,7,0,0,42,0,0,7,0.00016799999866634607
A,A_hp02,16,8,1,0,2,0.0,4.7,True,8,0,0,56,0,0,8,0.00017330003902316093
A,A_hp02,16,8,1,1,2,0.0,0.0,True,8,0,0,56,0,0,8,0.0002277999883517623
A,A_hp02,16,8,1,2,2,0.0,0.0,True,8,0,0,56,0,0,8,0.00029310001991689205
A,A_hp03,17,23,1,0,2,0.0,6.0,True,23,0,0,504,0,0,23,0.05764300003647804
A,A_hp03,17,23,1,1,2,0.0,0.0,True,23,1,0,506,0,0,23,0.030853400006890297
A,A_hp03,17,23,1,2,2,0.0,0.0,True,23,1,0,506,0,0,23,0.0342281999764964
A,A_hp04,18,14,1,0,2,0.0,4.1,True,14,0,0,180,0,0,14,0.0024621000047773123
A,A_hp04,18,14,1,1,2,0.0,0.0,True,14,1,0,182,0,0,14,0.003497700032312423
A,A_hp04,18,14,1,2,2,0.0,0.0,True,14,1,0,182,0,0,14,0.0025354999816045165
A,A_hp05,19,24,1,0,2,0.0,6.4,True,24,0,0,540,0,0,24,0.042767099977936596
A,A_hp05,19,24,1,1,2,0.0,0.0,True,24,6,0,552,0,0,24,0.03096120001282543
A,A_hp05,19,24,1,2,2,0.0,0.0,True,24,6,0,552,0,0,24,0.03231199999572709
A,A_hp06,20,11,1,0,2,0.0,4.3,True,11,0,0,108,0,0,11,0.0005638000438921154
A,A_hp06,20,11,1,1,2,0.0,0.0,True,11,1,0,110,0,0,11,0.0007300999714061618
A,A_hp06,20,11,1,2,2,0.0,0.0,True,11,1,0,110,0,0,11,0.00040530000114813447
A,A_hp07,21,22,1,0,2,0.0,5.6,True,22,0,0,432,0,0,22,7.35438479995355
A,A_hp07,21,22,1,1,2,0.0,0.0,True,22,15,0,462,0,0,22,7.925795599992853
A,A_hp07,21,22,1,2,2,0.0,0.0,True,22,15,0,462,0,0,22,8.034082100028172
A,A_hp08,22,28,1,0,2,0.0,5.2,True,28,0,0,724,0,0,28,0.08692069997778162
A,A_hp08,22,28,1,1,2,0.0,0.0,True,28,16,0,756,0,0,28,0.06224270001985133
A,A_hp08,22,28,1,2,2,0.0,0.0,True,28,16,0,756,0,0,28,0.04827489994931966
A,A_rand01,15,3,1,0,2,0.0,5.9,True,3,0,0,6,0,0,3,9.540002793073654e-05
A,A_rand01,15,3,1,1,2,0.0,0.0,True,3,0,0,6,0,0,3,0.0001145999995060265
A,A_rand01,15,3,1,2,2,0.0,0.0,True,3,0,0,6,0,0,3,8.900003740563989e-05
A,A_rand02,15,1,1,0,1,0.0,5.4,True,1,0,0,0,0,0,1,7.059995550662279e-05
A,A_rand02,15,1,1,1,1,0.0,0.0,True,1,0,0,0,0,0,1,5.8500037994235754e-05
A,A_rand02,15,1,1,2,1,0.0,0.0,True,1,0,0,0,0,0,1,7.599999662488699e-05
A,A_rand03,16,3,1,0,2,0.0,4.7,True,3,0,0,6,0,0,3,0.00011040002573281527
A,A_rand03,16,3,1,1,2,0.0,0.0,True,2,0,0,6,0,0,3,0.00010499998461455107
A,A_rand03,16,3,1,2,2,0.0,0.0,True,2,0,0,6,0,0,3,0.00014929997269064188
A,A_rand04,17,3,1,0,2,1.0,,False,3,0,0,6,0,0,3,9.42000187933445e-05
A,A_rand04,17,3,1,1,2,1.0,,False,3,0,0,6,0,0,3,0.00010519998613744974
A,A_rand04,17,3,1,2,2,1.0,,False,3,0,0,6,0,0,3,9.079999290406704e-05
A,A_rand05,18,12,1,0,2,0.0,5.7,True,12,0,0,132,0,0,12,0.0011752999853342772
A,A_rand05,18,12,1,1,2,0.0,0.0,True,12,0,0,132,0,0,12,0.0011552000069059432
A,A_rand05,18,12,1,2,2,0.0,0.0,True,12,0,0,132,0,0,12,0.001423400011844933
A,A_rand06,19,7,1,0,2,0.0,5.2,True,7,0,0,42,0,0,7,0.00023209996288642287
A,A_rand06,19,7,1,1,2,0.0,0.0,True,7,0,0,42,0,0,7,0.00018350000027567148
A,A_rand06,19,7,1,2,2,0.0,0.0,True,7,0,0,42,0,0,7,0.0003076000139117241
A,A_rand07,20,9,1,0,2,0.0,4.9,True,9,0,0,72,0,0,9,0.00031889998354017735
A,A_rand07,20,9,1,1,2,0.0,0.0,True,9,0,0,72,0,0,9,0.00031560001662001014
A,A_rand07,20,9,1,2,2,0.0,0.0,True,9,0,0,72,0,0,9,0.0004209000035189092
A,A_rand08,21,5,1,0,2,0.0,5.4,True,5,0,0,20,0,0,5,0.00013800000306218863
A,A_rand08,21,5,1,1,2,0.0,0.0,True,4,0,0,20,0,0,5,0.0001306000049225986
A,A_rand08,21,5,1,2,2,0.0,0.0,True,4,0,0,20,0,0,5,0.00018779997481033206
A,A_rand09,22,14,1,0,2,0.4,7.3,True,14,0,0,146,0,0,14,0.004827700031455606
A,A_rand09,22,14,1,1,2,0.0,0.0,True,14,18,0,182,0,0,14,0.005463200039230287
A,A_rand09,22,14,1,2,2,0.0,0.0,True,14,18,0,182,0,0,14,0.005454399972222745
A,A_rand10,23,7,1,0,2,4.2,,False,7,0,0,40,0,0,7,0.00022350001381710172
A,A_rand10,23,7,1,1,2,3.4,,False,7,1,0,42,0,0,7,0.0001981999957934022
A,A_rand10,23,7,1,2,2,3.4,,False,7,1,0,42,0,0,7,0.00020430004224181175
A,A_rand11,24,9,1,0,2,2.7,5.4,True,9,0,0,70,0,0,9,0.00034199998481199145
A,A_rand11,24,9,1,1,2,0.0,0.0,True,8,1,0,72,0,0,9,0.0003176000318489969
A,A_rand11,24,9,1,2,2,0.0,0.0,True,8,1,0,72,0,0,9,0.0003130999975837767
A,A_rand12,25,1,1,0,1,0.0,3.9,True,1,0,0,0,0,0,1,9.190000128000975e-05
A,A_rand12,25,1,1,1,1,0.0,0.0,True,1,0,0,0,0,0,1,0.00010030000703409314
A,A_rand12,25,1,1,2,1,0.0,0.0,True,1,0,0,0,0,0,1,0.00010880001354962587
M,M_ml01,34,39,2,0,2,0.0,15.3,True,39,0,0,1006,0,0,39,0.4416093999752775
M,M_ml01,34,39,2,1,2,0.0,3.1,True,38,213,0,1432,0,0,39,0.5623960999655537
M,M_ml01,34,39,2,2,3,0.0,0.0,True,38,213,173,2124,692,29,68,0.7542770999716595
M,M_ml02,35,17,2,0,2,0.0,14.7,True,17,0,0,150,0,0,17,0.09099350002361462
M,M_ml02,35,17,2,1,2,0.0,1.0,True,16,34,0,218,0,0,17,0.11703740002121776
M,M_ml02,35,17,2,2,3,0.0,0.0,True,16,34,39,374,156,12,29,0.15305730002000928
M,M_ml03,36,41,2,0,2,0.0,15.2,True,41,0,0,1226,0,0,41,0.5211345000425354
M,M_ml03,36,41,2,1,2,0.0,1.4,True,40,98,0,1422,0,0,41,0.24194829998305067
M,M_ml03,36,41,2,2,3,0.0,0.0,True,40,98,162,2070,648,30,71,0.30737340002087876
M,M_ml04,37,34,2,0,2,0.0,15.2,True,34,0,0,772,0,0,34,0.2445951999980025
M,M_ml04,37,34,2,1,2,0.0,0.8,True,34,140,0,1052,0,0,34,0.14000630000373349
M,M_ml04,37,34,2,2,3,0.0,0.0,True,34,140,63,1304,252,10,44,0.147227700043004
M,M_ml05,39,34,2,0,2,0.0,15.2,True,34,0,0,728,0,0,34,0.08912819996476173
M,M_ml05,39,34,2,1,2,0.0,1.03,True,33,123,0,974,0,0,34,0.12788370001362637
M,M_ml05,39,34,2,2,3,0.0,0.0,True,33,123,156,1598,624,20,54,0.15913499996531755
M,M_ml06,41,30,2,0,2,0.0,15.3,True,30,0,0,414,0,0,30,0.07763710001017898
M,M_ml06,41,30,2,1,2,0.0,0.83,True,30,162,0,738,0,0,30,0.07986040000105277
