seq_id,n_stems,shots,depolarizing,readout_error,model_energy,exact_model_energy,optimizer_gap_model,found_optimum,ideal_success_probability,shots_for_99pct
A_hp01,7,128,0.0,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,128,0.0,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,128,0.05,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,128,0.05,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,128,0.2,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,128,0.2,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.0,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.0,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.05,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.05,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.2,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,512,0.2,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.0,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.0,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.05,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.05,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.2,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,2048,0.2,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.0,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.0,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.05,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.05,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.2,0.0,-3.1,-3.1,0.0,True,0.152148,28
A_hp01,7,8192,0.2,0.02,-3.1,-3.1,0.0,True,0.152148,28
A_hp02,8,128,0.0,0.0,-1.7,-1.7,0.0,True,0.061178,73
