seq_id,n_stems,lambda_ratio,lambda,lambda_bound,feasible,penalty_objective,hard_objective,optimality_gap,n_hard_constraints
A_hp01,7,0.1,0.31,3.1,False,-6.6,-3.1,-3.5,21
A_hp01,7,0.25,0.78,3.1,False,-5.1,-3.1,-2.0,21
A_hp01,7,0.5,1.55,3.1,False,-5.1,-3.1,-2.0,21
A_hp01,7,0.75,2.33,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,0.9,2.79,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,1.0,3.1,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,1.1,3.41,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,1.5,4.65,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,2.0,6.2,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,3.0,9.3,3.1,True,-3.1,-3.1,0.0,21
A_hp01,7,4.0,12.4,3.1,True,-3.1,-3.1,0.0,21
A_hp02,8,0.1,0.17,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,0.25,0.43,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,0.5,0.85,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,0.75,1.28,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,0.9,1.53,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,1.0,1.7,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,1.1,1.87,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,1.5,2.55,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,2.0,3.4,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,3.0,5.1,1.7,True,-1.7,-1.7,0.0,28
A_hp02,8,4.0,6.8,1.7,True,-1.7,-1.7,0.0,28
A_hp06,11,0.1,0.85,8.5,False,-21.0,-6.6,-14.4,54
A_hp06,11,0.25,2.12,8.5,False,-13.2,-6.6,-6.6,54
A_hp06,11,0.5,4.25,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,0.75,6.38,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,0.9,7.65,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,1.0,8.5,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,1.1,9.35,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,1.5,12.75,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,2.0,17.0,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,3.0,25.5,8.5,True,-6.6,-6.6,0.0,54
A_hp06,11,4.0,34.0,8.5,True,-6.6,-6.6,0.0,54
A_rand01,3,0.1,0.05,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,0.25,0.12,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,0.5,0.25,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,0.75,0.38,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,0.9,0.45,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,1.0,0.5,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,1.1,0.55,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,1.5,0.75,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,2.0,1.0,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,3.0,1.5,0.5,True,-0.5,-0.5,0.0,3
A_rand01,3,4.0,2.0,0.5,True,-0.5,-0.5,0.0,3
A_rand02,1,0.1,0.03,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,0.25,0.07,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,0.5,0.15,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,0.75,0.22,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,0.9,0.27,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,1.0,0.3,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,1.1,0.33,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,1.5,0.45,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,2.0,0.6,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,3.0,0.9,0.3,True,-0.3,-0.3,0.0,0
A_rand02,1,4.0,1.2,0.3,True,-0.3,-0.3,0.0,0
A_rand03,3,0.1,0.26,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,0.25,0.65,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,0.5,1.3,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,0.75,1.95,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,0.9,2.34,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,1.0,2.6,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,1.1,2.86,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,1.5,3.9,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,2.0,5.2,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,3.0,7.8,2.6,True,-2.6,-2.6,0.0,3
A_rand03,3,4.0,10.4,2.6,True,-2.6,-2.6,0.0,3
A_rand04,3,0.1,0.36,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,0.25,0.9,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,0.5,1.8,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,0.75,2.7,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,0.9,3.24,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,1.0,3.6,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,1.1,3.96,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,1.5,5.4,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,2.0,7.2,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,3.0,10.8,3.6,True,-3.6,-3.6,0.0,3
A_rand04,3,4.0,14.4,3.6,True,-3.6,-3.6,0.0,3
A_rand05,12,0.1,0.04,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,0.25,0.1,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,0.5,0.2,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,0.75,0.3,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,0.9,0.36,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,1.0,0.4,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,1.1,0.44,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,1.5,0.6,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,2.0,0.8,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,3.0,1.2,0.4,True,-0.4,-0.4,0.0,66
A_rand05,12,4.0,1.6,0.4,True,-0.4,-0.4,0.0,66
A_rand06,7,0.1,0.48,4.8,False,-10.8,-4.8,-6.0,21
A_rand06,7,0.25,1.2,4.8,False,-8.7,-4.8,-3.9,21
A_rand06,7,0.5,2.4,4.8,False,-8.7,-4.8,-3.9,21
A_rand06,7,0.75,3.6,4.8,False,-8.7,-4.8,-3.9,21
A_rand06,7,0.9,4.32,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,1.0,4.8,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,1.1,5.28,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,1.5,7.2,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,2.0,9.6,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,3.0,14.4,4.8,True,-4.8,-4.8,0.0,21
A_rand06,7,4.0,19.2,4.8,True,-4.8,-4.8,0.0,21
A_rand07,9,0.1,0.51,5.1,False,-9.5,-5.1,-4.4,36
