seq_id,length,n_stems,pseudoknot_mode,lambda_cross,n_crossing_pairs_in_graph,target_pairs,found_pairs,true_positives,sensitivity,ppv,structure_has_crossings,structure
PK_01,28,8,False,7.05,15,8,4,4,0.5,1.0,False,........((((............))))
PK_01,28,8,True,0.0,15,8,8,8,1.0,1.0,True,((((....[[[[....))))....]]]]
PK_02,30,13,False,8.85,18,9,5,5,0.5556,1.0,False,(((((............)))))........
PK_02,30,13,True,0.0,18,9,9,9,1.0,1.0,True,(((((....[[[[....)))))....]]]]
PK_03,33,13,False,9.9,18,9,5,5,0.5556,1.0,False,.........(((((..............)))))
PK_03,33,13,True,0.0,18,9,9,9,1.0,1.0,True,((((.....[[[[[.....)))).....]]]]]
PK_04,32,12,False,10.8,36,10,5,5,0.5,1.0,False,.........(((((.............)))))
PK_04,32,12,True,0.0,36,10,10,10,1.0,1.0,True,(((((....[[[[[....)))))....]]]]]
PK_05,34,24,False,19.35,74,11,8,0,0.0,0.0,False,((((......((((.......)))).....))))
PK_05,34,24,True,0.0,74,11,11,11,1.0,1.0,True,((((((....[[[[[....))))))....]]]]]
PK_06,37,32,False,45.45,77,11,10,0,0.0,0.0,False,(((((.....(((((......)))))......)))))
PK_06,37,32,True,0.0,77,11,10,0,0.0,0.0,False,(((((.....(((((......)))))......)))))
PK_07,36,28,False,22.2,102,12,8,0,0.0,0.0,False,..((((......((((....))))......))))..
PK_07,36,28,True,0.0,102,12,12,12,1.0,1.0,True,((((((....[[[[[[....))))))....]]]]]]
PK_08,34,8,False,8.85,9,8,6,0,0.0,0.0,False,.(((.......(((......))).......))).
PK_08,34,8,True,0.0,9,8,8,8,1.0,1.0,True,((((......[[[[......))))......]]]]
PK_09,38,16,False,9.45,48,10,5,5,0.5,1.0,False,(((((.................)))))...........
PK_09,38,16,True,0.0,48,10,10,10,1.0,1.0,True,(((((......[[[[[......)))))......]]]]]
PK_10,42,32,False,15.3,127,12,6,6,0.5,1.0,False,((((((..................))))))............
PK_10,42,32,True,0.0,127,12,12,12,1.0,1.0,True,((((((......[[[[[[......))))))......]]]]]]
