tier,seq_id,n_stems,level,solver,seed,skipped,model_energy,exact_model_energy,optimizer_gap_model,found_model_optimum,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,f1,sensitivity,ppv,exact_match,feasible_raw,was_repaired,wall_time,n_qubits,depth,two_qubit_gates,compression_ratio,function_evaluations
A,A_hp01,7,1,random,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,157139
A,A_hp01,7,1,annealing,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,669956
A,A_hp01,7,1,lowrank,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0448,7.0,,,1.75,3712
A,A_hp01,7,1,adapt_qaoa,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.2749,7.0,165.0,252.0,,1180
A,A_hp01,7,1,pce,0,False,-0.4,-3.1,2.7,False,-3.1,-3.1,-0.4,0.0,2.7,2.7,0.75,0.6,1.0,False,True,False,0.5693,2.0,,,3.5,688
A,A_hp01,7,1,dirac3_sim,0,False,-2.0,-3.1,1.1,False,-3.1,-3.1,-2.0,0.0,1.1,1.1,0.8889,0.8,1.0,False,True,False,0.0808,,,,,2000
A,A_hp01,7,1,random,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,157591
A,A_hp01,7,1,annealing,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,674667
A,A_hp01,7,1,lowrank,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0422,7.0,,,1.75,3712
A,A_hp01,7,1,adapt_qaoa,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.2727,7.0,165.0,252.0,,1180
A,A_hp01,7,1,pce,1,False,-0.5,-3.1,2.6,False,-3.1,-3.1,-0.5,0.0,2.6,2.6,0.75,0.6,1.0,False,True,False,0.4254,2.0,,,3.5,437
A,A_hp01,7,1,dirac3_sim,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0829,,,,,2000
A,A_hp01,7,1,random,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,156920
A,A_hp01,7,1,annealing,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,681282
A,A_hp01,7,1,lowrank,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0411,7.0,,,1.75,3712
A,A_hp01,7,1,adapt_qaoa,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.2674,7.0,165.0,252.0,,1180
A,A_hp01,7,1,pce,2,False,-0.5,-3.1,2.6,False,-3.1,-3.1,-0.5,0.0,2.6,2.6,0.75,0.6,1.0,False,True,False,0.6982,2.0,,,3.5,823
A,A_hp01,7,1,dirac3_sim,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0819,,,,,2000
A,A_hp01,7,2,random,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,159473
A,A_hp01,7,2,annealing,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,669739
A,A_hp01,7,2,lowrank,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.042,7.0,,,1.75,3712
A,A_hp01,7,2,adapt_qaoa,0,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.2613,7.0,165.0,252.0,,1180
A,A_hp01,7,2,pce,0,False,-0.4,-3.1,2.7,False,-3.1,-3.1,-0.4,0.0,2.7,2.7,0.75,0.6,1.0,False,True,False,0.577,2.0,,,3.5,688
A,A_hp01,7,2,dirac3_sim,0,False,-2.0,-3.1,1.1,False,-3.1,-3.1,-2.0,0.0,1.1,1.1,0.8889,0.8,1.0,False,True,False,0.0795,,,,,2000
A,A_hp01,7,2,random,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,159803
A,A_hp01,7,2,annealing,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,685055
A,A_hp01,7,2,lowrank,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0391,7.0,,,1.75,3712
A,A_hp01,7,2,adapt_qaoa,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.2622,7.0,165.0,252.0,,1180
A,A_hp01,7,2,pce,1,False,-0.5,-3.1,2.6,False,-3.1,-3.1,-0.5,0.0,2.6,2.6,0.75,0.6,1.0,False,True,False,0.3782,2.0,,,3.5,437
A,A_hp01,7,2,dirac3_sim,1,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0821,,,,,2000
A,A_hp01,7,2,random,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,159147
A,A_hp01,7,2,annealing,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,7.0,,,,691236
A,A_hp01,7,2,lowrank,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0419,7.0,,,1.75,3712
A,A_hp01,7,2,adapt_qaoa,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.266,7.0,165.0,252.0,,1180
A,A_hp01,7,2,pce,2,False,-0.5,-3.1,2.6,False,-3.1,-3.1,-0.5,0.0,2.6,2.6,0.75,0.6,1.0,False,True,False,0.7069,2.0,,,3.5,823
A,A_hp01,7,2,dirac3_sim,2,False,-3.1,-3.1,0.0,True,-3.1,-3.1,-3.1,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0793,,,,,2000
A,A_hp02,8,1,random,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,8.0,,,,129590
A,A_hp02,8,1,annealing,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,8.0,,,,625896
A,A_hp02,8,1,lowrank,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0415,8.0,,,2.0,3712
A,A_hp02,8,1,adapt_qaoa,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.4592,8.0,187.0,340.0,,1600
A,A_hp02,8,1,pce,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.5401,2.0,,,4.0,597
A,A_hp02,8,1,dirac3_sim,0,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0753,,,,,2000
A,A_hp02,8,1,random,1,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,8.0,,,,130828
A,A_hp02,8,1,annealing,1,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,8.0,,,,613456
A,A_hp02,8,1,lowrank,1,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.0425,8.0,,,2.0,3712
A,A_hp02,8,1,adapt_qaoa,1,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.4687,8.0,187.0,340.0,,1600
A,A_hp02,8,1,pce,1,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.7007,2.0,,,4.0,770
A,A_hp02,8,1,dirac3_sim,1,False,1.2,-1.7,2.9,False,-1.7,-1.7,1.2,0.0,2.9,2.9,0.8889,0.8,1.0,False,True,False,0.0782,,,,,2000
A,A_hp02,8,1,random,2,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0006,8.0,,,,125740
A,A_hp02,8,1,annealing,2,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,2.0,8.0,,,,627000
A,A_hp02,8,1,lowrank,2,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.044,8.0,,,2.0,3712
A,A_hp02,8,1,adapt_qaoa,2,False,-1.7,-1.7,0.0,True,-1.7,-1.7,-1.7,0.0,0.0,0.0,1.0,1.0,1.0,True,True,False,0.4724,8.0,187.0,340.0,,1600
